"Date","CodeOffice","CodeTaxe","TaxeDescription","AmountPaid","AmountAssessed"
"2024-01-03",DJAKH,IGS,IGS / KHAT,3290692.0,2742658.0
"2024-01-03",DJAKH,ISS,Impôt Spécial de Solidarité,328989.0,308122.0
"2024-01-03",DJAKH,PAT,Patente Khat,1125050.0,1053600.0
"2024-01-03",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,5175230.0,4846560.0
"2024-01-03",DJAKH,TVA,Taxe sur la Valeur Ajoutée,2767623.0,2584657.0
"2024-01-03",DJBAP,CUA,Taxe de Contribution de l'UA,70.0,70.0
"2024-01-03",DJBAP,FDT,Frais de Timbre,1000.0,1000.0
"2024-01-03",DJBAP,TIC23,Taxe Intérieur Consommation à 23%,8050.0,8050.0
"2024-01-03",DJBAP,TVA,Taxe sur la Valeur Ajoutée,4305.0,4305.0
"2024-01-03",DJCPT,PAT,Recette PAT,10000.0,0.0
"2024-01-03",DJEXO,CUA,Taxe de Contribution de l'UA,833832.0,744705.0
"2024-01-03",DJEXO,DAL,Droit d'Accisse Huiles lubrifiants,0.0,0.0
"2024-01-03",DJEXO,FDT,Frais de Timbre,39000.0,59000.0
"2024-01-03",DJEXO,TIC10,Taxe Intérieur Consommation à 10%,0.0,0.0
"2024-01-03",DJEXO,TIC23,Taxe Intérieur Consommation à 23%,0.0,0.0
"2024-01-03",DJEXO,TIC8,Taxe Intérieur de Consommation à 8%,0.0,0.0
"2024-01-03",DJEXO,TVA,Taxe sur la Valeur Ajoutée,6746429.0,6269528.0
"2024-01-03",DJFRZ,ATB,Alcool Transit Boutre,136568.0,0.0
"2024-01-03",DJFRZ,CUA,Taxe de Contribution de l'UA,68552.0,65762.0
"2024-01-03",DJFRZ,DEM,Droit d'accises Eau Minéral,70560.0,0.0
"2024-01-03",DJFRZ,FDT,Frais de Timbre,71000.0,63000.0
"2024-01-03",DJFRZ,FJT,FJSL TRANSIT ALCOOL ET TABAC,136568.0,0.0
"2024-01-03",DJFRZ,TIC10,Taxe Intérieur Consommation à 10%,527120.0,527120.0
"2024-01-03",DJFRZ,TIC23,Taxe Intérieur Consommation à 23%,6672431.0,6350804.0
"2024-01-03",DJFRZ,TVA,Taxe sur la Valeur Ajoutée,4155184.0,3976129.0
"2024-01-03",DJGAR,CUA,Taxe de Contribution de l'UA,0.0,3000.0
"2024-01-03",DJGAR,FDT,Frais de Timbre,0.0,6000.0
"2024-01-03",DJGAR,TVA,Taxe sur la Valeur Ajoutée,0.0,150000.0
"2024-01-03",DJPRT,CUA,Taxe de Contribution de l'UA,224723.0,235460.0
"2024-01-03",DJPRT,DAE,Droit d'Accisse Eau de toilettes,168000.0,168000.0
"2024-01-03",DJPRT,DLLP,Droits d'assises sur le lait en ,862500.0,862500.0
"2024-01-03",DJPRT,DYA,Droit d'assises sur les yaourts,12000.0,0.0
"2024-01-03",DJPRT,FDT,Frais de Timbre,26000.0,28000.0
"2024-01-03",DJPRT,FDT,Recette FDT,17000.0,0.0
"2024-01-03",DJPRT,RFE,Redevance Ferraille Export,207500.0,207500.0
"2024-01-03",DJPRT,TIC10,Taxe Intérieur Consommation à 10%,5390461.0,5086080.0
"2024-01-03",DJPRT,TIC23,Taxe Intérieur Consommation à 23%,3179542.0,6711330.0
"2024-01-03",DJPRT,TIC8,Taxe Intérieur de Consommation à 8%,0.0,4000.0
"2024-01-03",DJPRT,TVA,Taxe sur la Valeur Ajoutée,10063202,10916480
"2024-01-03",DJPTR,FDT,Frais de Timbre,2000.0,2000.0
"2024-01-03",DJREV,FDT,Frais de Timbre,1000.0,2000.0
"2024-01-03",DJTRS,FDT,Frais de Timbre,163000.0,303000.0
"2024-01-03",DJUKB,FDT,Frais de Timbre,38000.0,36000.0
"2024-01-03",DJZEA,CUA,Taxe de Contribution de l'UA,14415.0,0.0
"2024-01-03",DJZEA,FDT,Frais de Timbre,33000.0,28000.0
"2024-01-03",DJZEA,TIC23,Taxe Intérieur Consommation à 23%,1657725.0,0.0
"2024-01-03",DJZEA,TVA,Taxe sur la Valeur Ajoutée,886522.0,0.0
"2024-01-03",DJZFR,CUA,Taxe de Contribution de l'UA,16639.0,32615.0
"2024-01-03",DJZFR,DAA,Droit d'Accisse Alcool,888875.0,329273.0
"2024-01-03",DJZFR,FDT,Frais de Timbre,4000.0,8000.0
"2024-01-03",DJZFR,RFSH,Redevance Fonds Soutien Handicaps,11869.0,4396.0
"2024-01-03",DJZFR,TIC10,Taxe Intérieur Consommation à 10%,277930.0,425361.0
"2024-01-03",DJZFR,TIC23,Taxe Intérieur Consommation à 23%,1274367.0,1188561.0
"2024-01-03",DJZFR,TIC8,Taxe Intérieur de Consommation à 8%,0.0,551019.0
"2024-01-03",DJZFR,TVA,Taxe sur la Valeur Ajoutée,1076119.0,1136445.0
"2024-01-04",DIFTZ,ATB,Alcool Transit Boutre,0.0,64952.0
"2024-01-04",DIFTZ,CUA,Taxe de Contribution de l'UA,28875.0,17013.0
"2024-01-04",DIFTZ,FDT,Frais de Timbre,77000.0,77000.0
"2024-01-04",DIFTZ,FJT,FJSL TRANSIT ALCOOL ET TABAC,0.0,64952.0
"2024-01-04",DIFTZ,TIC10,Taxe Intérieur Consommation à 10%,253757.0,128433.0
"2024-01-04",DIFTZ,TIC23,Taxe Intérieur Consommation à 23%,1968794.0,237485.0
"2024-01-04",DIFTZ,TIC8,Taxe Intérieur de Consommation à 8%,267345.0,330696.0
"2024-01-04",DIFTZ,TVA,Taxe sur la Valeur Ajoutée,1332009.0,474078.0
"2024-01-04",DJAFR,CUA,Taxe de Contribution de l'UA,8124.0,82170.0
"2024-01-04",DJAFR,DAP,Droit d'Accisse Parfums,20160.0,27660.0
"2024-01-04",DJAFR,DYA,Droit d'assises sur les yaourts,0.0,432300.0
"2024-01-04",DJAFR,FDT,Frais de Timbre,21000.0,36000.0
"2024-01-04",DJAFR,PAL,Droit d'Assises sur les Pattes,0.0,3920.0
"2024-01-04",DJAFR,TIC10,Taxe Intérieur Consommation à 10%,56536.0,2474113.0
"2024-01-04",DJAFR,TIC20,Taxe Intérieur Consommation à 20%,0.0,49477.0
"2024-01-04",DJAFR,TIC23,Taxe Intérieur Consommation à 23%,760353.0,2066940.0
"2024-01-04",DJAFR,TVA,Taxe sur la Valeur Ajoutée,494634.0,4615022.0
"2024-01-04",DJAKH,CCD,Frais Chambre de Commerce,15108.0,35548.0
"2024-01-04",DJAKH,CUA,Taxe de Contribution de l'UA,22146.0,54340.0
"2024-01-04",DJAKH,DAK,Droit d'Accisse Khat,6056597.0,13045721
"2024-01-04",DJAKH,FDT,Frais de Timbre,99000.0,136000.0
"2024-01-04",DJAKH,FJS,FJSL,553650.0,1358500.0
"2024-01-04",DJAKH,IGS,IGS / KHAT,1619392.0,3430809.0
"2024-01-04",DJAKH,ISS,Impôt Spécial de Solidarité,161904.0,386356.0
"2024-01-04",DJAKH,PAT,Patente Khat,553650.0,1321075.0
"2024-01-04",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,2546790.0,6076945.0
"2024-01-04",DJAKH,TVA,Taxe sur la Valeur Ajoutée,1361979.0,3241236.0
"2024-01-04",DJBAP,CUA,Taxe de Contribution de l'UA,526.0,526.0
"2024-01-04",DJBAP,DAA,Droit d'Accisse Alcool,16500.0,16500.0
"2024-01-04",DJBAP,FDT,Frais de Timbre,4000.0,4000.0
"2024-01-04",DJBAP,RFSH,Redevance Fonds Soutien Handicaps,220.0,220.0
"2024-01-04",DJBAP,TIC10,Taxe Intérieur Consommation à 10%,23200.0,23200.0
"2024-01-04",DJBAP,TIC23,Taxe Intérieur Consommation à 23%,7130.0,7130.0
"2024-01-04",DJBAP,TVA,Taxe sur la Valeur Ajoutée,30983.0,30983.0
"2024-01-04",DJEXO,CBU,Taxe de Contribution Budgétaire,241956.0,222456.0
"2024-01-04",DJEXO,CUA,Taxe de Contribution de l'UA,246602.0,261455.0
"2024-01-04",DJEXO,DAL,Droit d'Accisse Huiles lubrifiants,0.0,0.0
"2024-01-04",DJEXO,FDT,Frais de Timbre,36000.0,30000.0
"2024-01-04",DJEXO,TIC10,Taxe Intérieur Consommation à 10%,0.0,0.0
"2024-01-04",DJEXO,TIC23,Taxe Intérieur Consommation à 23%,0.0,0.0
"2024-01-04",DJEXO,TIC8,Taxe Intérieur de Consommation à 8%,0.0,0.0
"2024-01-04",DJEXO,TVA,Taxe sur la Valeur Ajoutée,1127524.0,1870179.0
"2024-01-04",DJFRZ,CUA,Taxe de Contribution de l'UA,153856.0,161199.0
"2024-01-04",DJFRZ,DAA,Droit d'Accisse Alcool,0.0,1108200.0
"2024-01-04",DJFRZ,FDT,Frais de Timbre,82000.0,83000.0
"2024-01-04",DJFRZ,RFSH,Redevance Fonds Soutien Handicaps,0.0,14797.0
"2024-01-04",DJFRZ,TIC10,Taxe Intérieur Consommation à 10%,1306212.0,1599589.0
"2024-01-04",DJFRZ,TIC23,Taxe Intérieur Consommation à 23%,3929536.0,4099460.0
"2024-01-04",DJFRZ,TVA,Taxe sur la Valeur Ajoutée,8216704.0,8741110.0
"2024-01-04",DJGAR,CUA,Taxe de Contribution de l'UA,99115.0,96115.0
"2024-01-04",DJGAR,FDT,Frais de Timbre,32000.0,26000.0
"2024-01-04",DJGAR,TIC8,Taxe Intérieur de Consommation à 8%,3765015.0,3765015.0
"2024-01-04",DJGAR,TVA,Taxe sur la Valeur Ajoutée,250000.0,100000.0
"2024-01-04",DJPRT,AIB,Accompte impôt Bénéfice,55597.0,55597.0
"2024-01-04",DJPRT,CUA,Taxe de Contribution de l'UA,201674.0,190033.0
"2024-01-04",DJPRT,DAP,Droit d'Accisse Parfums,2000.0,2000.0
"2024-01-04",DJPRT,DEG,Droit d'assise eau gazeuse,1680.0,1680.0
"2024-01-04",DJPRT,DJU,Droit D'assises Jus des Fruits,0.0,20000.0
"2024-01-04",DJPRT,FDT,Frais de Timbre,69000.0,69000.0
"2024-01-04",DJPRT,FDT,Recette FDT,16000.0,0.0
"2024-01-04",DJPRT,PLA,Droits d'assises sur les sachets en,270000.0,270000.0
"2024-01-04",DJPRT,RFSH,Redevance Fonds Soutien Handicaps,268.0,268.0
"2024-01-04",DJPRT,TIC10,Taxe Intérieur Consommation à 10%,2274417.0,2974444.0
"2024-01-04",DJPRT,TIC20,Taxe Intérieur Consommation à 20%,0.0,41819.0
"2024-01-04",DJPRT,TIC23,Taxe Intérieur Consommation à 23%,9794409.0,13165001
"2024-01-04",DJPRT,TIC8,Taxe Intérieur de Consommation à 8%,4000.0,244154.0
"2024-01-04",DJPRT,TVA,Taxe sur la Valeur Ajoutée,11669526,10844531
"2024-01-04",DJPTR,FDT,Frais de Timbre,0.0,1000.0
"2024-01-04",DJREV,FDT,Frais de Timbre,2000.0,1000.0
"2024-01-04",DJTRS,FDT,Frais de Timbre,141000.0,349000.0
"2024-01-04",DJUKB,FDT,Frais de Timbre,37000.0,37000.0
"2024-01-04",DJZEA,FDT,Frais de Timbre,35000.0,36000.0
"2024-01-04",DJZFR,CUA,Taxe de Contribution de l'UA,169220.0,153721.0
"2024-01-04",DJZFR,DAA,Droit d'Accisse Alcool,329273.0,1247890.0
"2024-01-04",DJZFR,FDT,Frais de Timbre,10000.0,8000.0
"2024-01-04",DJZFR,RFSH,Redevance Fonds Soutien Handicaps,4396.0,16662.0
"2024-01-04",DJZFR,TIC10,Taxe Intérieur Consommation à 10%,345061.0,197630.0
"2024-01-04",DJZFR,TIC23,Taxe Intérieur Consommation à 23%,50488.0,191341.0
"2024-01-04",DJZFR,TIC8,Taxe Intérieur de Consommation à 8%,551019.0,0.0
"2024-01-04",DJZFR,TVA,Taxe sur la Valeur Ajoutée,439494.0,444507.0
"2024-01-05",DJAKH,CCD,Frais Chambre de Commerce,0.0,32353.0
"2024-01-05",DJAKH,CUA,Taxe de Contribution de l'UA,0.0,49436.0
"2024-01-05",DJAKH,DAK,Droit d'Accisse Khat,0.0,11672195
"2024-01-05",DJAKH,FDT,Frais de Timbre,0.0,135000.0
"2024-01-05",DJAKH,FJS,FJSL,0.0,1235900.0
"2024-01-05",DJAKH,IGS,IGS / KHAT,0.0,3066490.0
"2024-01-05",DJAKH,ISS,Impôt Spécial de Solidarité,0.0,351623.0
"2024-01-05",DJAKH,PAT,Patente Khat,0.0,1202325.0
"2024-01-05",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,0.0,5530695.0
"2024-01-05",DJAKH,TVA,Taxe sur la Valeur Ajoutée,0.0,2949996.0
"2024-01-05",DJBAP,AIB,Accompte impôt Bénéfice,10890.0,10890.0
"2024-01-05",DJBAP,CUA,Taxe de Contribution de l'UA,198.0,198.0
"2024-01-05",DJBAP,FDT,Frais de Timbre,1000.0,1000.0
"2024-01-05",DJBAP,TIC10,Taxe Intérieur Consommation à 10%,9900.0,9900.0
"2024-01-05",DJBAP,TVA,Taxe sur la Valeur Ajoutée,10890.0,10890.0
"2024-01-05",DJTRS,FDT,Frais de Timbre,58000.0,18000.0
"2024-01-06",DIFTZ,FDT,Frais de Timbre,33000.0,36000.0
"2024-01-06",DJAFR,CUA,Taxe de Contribution de l'UA,1583.0,8460.0
"2024-01-06",DJAFR,FDT,Frais de Timbre,3000.0,5000.0
"2024-01-06",DJAFR,TIC10,Taxe Intérieur Consommation à 10%,9430.0,9430.0
"2024-01-06",DJAFR,TIC23,Taxe Intérieur Consommation à 23%,10465.0,41745.0
"2024-01-06",DJAFR,TIC8,Taxe Intérieur de Consommation à 8%,35549.0,289384.0
"2024-01-06",DJAFR,TVA,Taxe sur la Valeur Ajoutée,36769.0,66497.0
"2024-01-06",DJAKH,CCD,Frais Chambre de Commerce,4472.0,25885.0
"2024-01-06",DJAKH,CUA,Taxe de Contribution de l'UA,6550.0,39814.0
"2024-01-06",DJAKH,DAK,Droit d'Accisse Khat,1791325.0,9046991.0
"2024-01-06",DJAKH,FDT,Frais de Timbre,33000.0,95000.0
"2024-01-06",DJAKH,FJS,FJSL,163750.0,995350.0
"2024-01-06",DJAKH,IGS,IGS / KHAT,478957.0,2366715.0
"2024-01-06",DJAKH,ISS,Impôt Spécial de Solidarité,47883.0,281965.0
"2024-01-06",DJAKH,PAT,Patente Khat,163750.0,964125.0
"2024-01-06",DJAKH,TIC23,Taxe Intérieur Consommation à 23%,753250.0,4434975.0
"2024-01-06",DJAKH,TVA,Taxe sur la Valeur Ajoutée,402825.0,2364565.0
"2024-01-06",DJBAP,CUA,Taxe de Contribution de l'UA,500.0,500.0
"2024-01-06",DJBAP,FDT,Frais de Timbre,1000.0,1000.0
"2024-01-06",DJBAP,TIC10,Taxe Intérieur Consommation à 10%,25000.0,25000.0
"2024-01-06",DJBAP,TVA,Taxe sur la Valeur Ajoutée,27500.0,27500.0
"2024-01-06",DJFRZ,CUA,Taxe de Contribution de l'UA,7343.0,0.0
"2024-01-06",DJFRZ,DAA,Droit d'Accisse Alcool,1108200.0,0.0
"2024-01-06",DJFRZ,FDT,Frais de Timbre,33000.0,31000.0
"2024-01-06",DJFRZ,RFSH,Redevance Fonds Soutien Handicaps,14797.0,0.0
"2024-01-06",DJFRZ,TIC10,Taxe Intérieur Consommation à 10%,293377.0,0.0
"2024-01-06",DJFRZ,TIC23,Taxe Intérieur Consommation à 23%,169924.0,0.0
"2024-01-06",DJFRZ,TVA,Taxe sur la Valeur Ajoutée,524406.0,0.0
"2024-01-06",DJPRT,CUA,Taxe de Contribution de l'UA,87842.0,83651.0
"2024-01-06",DJPRT,FDT,Frais de Timbre,14000.0,12000.0
"2024-01-06",DJPRT,TIC10,Taxe Intérieur Consommation à 10%,697380.0,697380.0
"2024-01-06",DJPRT,TIC23,Taxe Intérieur Consommation à 23%,733840.0,344195.0
"2024-01-06",DJPRT,TIC8,Taxe Intérieur de Consommation à 8%,2700654.0,2668500.0
"2024-01-06",DJPRT,TVA,Taxe sur la Valeur Ajoutée,1159562.0,951187.0
"2024-01-06",DJPTR,ALG,Ajustement Légale du Gasoil,0.0,-17377844
"2024-01-06",DJPTR,ALP,Ajustement Légal du Pétrol,0.0,-3205425.0
"2024-01-06",DJPTR,ALS,Ajustement Légal du Super,0.0,2207861.0
"2024-01-06",DJPTR,CUA,Taxe de Contribution de l'UA,0.0,250254.0
"2024-01-06",DJPTR,DAG,Droit d'accise sur le gasoil,0.0,4467312.0
"2024-01-06",DJPTR,DAL,Droit d'Accisse Huiles lubrifiants,0.0,505267.0
"2024-01-06",DJPTR,DAS,Droit d'accises sur le Super,0.0,4580433.0
"2024-01-06",DJPTR,DPL,Droit d'accise du Petrol Lampant,0.0,0.0
"2024-01-06",DJPTR,FDT,Frais de Timbre,0.0,6000.0
"2024-01-06",DJPTR,RJT,Redevance jet,0.0,2625300.0
"2024-01-06",DJPTR,RLG,Redevance Légale su Gasoil,0.0,13573182
"2024-01-06",DJPTR,RLP,Redevance Légale du Pétrol,0.0,315539.0
"2024-01-06",DJPTR,RLS,Redevance Légale du Super,0.0,2973117.0
"2024-01-06",DJPTR,TIC23,Taxe Intérieur Consommation à 23%,0.0,27927304
"2024-01-06",DJPTR,TVA,Taxe sur la Valeur Ajoutée,0.0,16042540
"2024-01-06",DJTRS,FDT,Frais de Timbre,219000.0,184000.0
"2024-01-06",DJUKB,FDT,Frais de Timbre,11000.0,11000.0
"2024-01-06",DJZEA,FDT,Frais de Timbre,18000.0,17000.0
"2024-01-06",DJZFR,FDT,Frais de Timbre,3000.0,3000.0
"2024-01-07",DIFTZ,CUA,Taxe de Contribution de l'UA,27876.0,22806.0
"2024-01-07",DIFTZ,FDT,Frais de Timbre,73000.0,70000.0
"2024-01-07",DIFTZ,TIC10,Taxe Intérieur Consommation à 10%,0.0,13250.0
"2024-01-07",DIFTZ,TIC23,Taxe Intérieur Consommation à 23%,549320.0,409020.0
"2024-01-07",DIFTZ,TVA,Taxe sur la Valeur Ajoutée,1449151.0,1182897.0
"2024-01-07",DJAFR,CUA,Taxe de Contribution de l'UA,12317.0,10795.0
"2024-01-07",DJAFR,FDT,Frais de Timbre,21000.0,20000.0
"2024-01-07",DJAFR,TIC10,Taxe Intérieur Consommation à 10%,107159.0,97721.0
"2024-01-07",DJAFR,TIC23,Taxe Intérieur Consommation à 23%,167096.0,793766.0
"2024-01-07",DJAFR,TIC8,Taxe Intérieur de Consommation à 8%,258199.0,56700.0
"2024-01-07",DJAFR,TVA,Taxe sur la Valeur Ajoutée,336781.0,557784.0
"2024-01-07",DJAKH,CCD,Frais Chambre de Commerce,38955.0,36431.0
"2024-01-07",DJAKH,CUA,Taxe de Contribution de l'UA,57072.0,55260.0
"2024-01-07",DJAKH,DAK,Droit d'Accisse Khat,15608286,13436623
"2024-01-07",DJAKH,FDT,Frais de Timbre,294000.0,175000.0
"2024-01-07",DJAKH,FJS,FJSL,1426800.0,1381500.0
"2024-01-07",DJAKH,IGS,IGS / KHAT,4173284.0,3542786.0
